"","Type","RentData","Year","Room","displayText"
"91","Wales",26.4890909090909,2018,"BED2","2018 BED2"
"92","Urban",22.7660526315789,2018,"BED2","2018 BED2"
"93","Rural",23.9509210526316,2018,"BED2","2018 BED2"
"94","Coastal",24.9210126582278,2018,"BED2","2018 BED2"
"95","Inland",22.8548648648649,2018,"BED2","2018 BED2"
"96","Average",23.7139473684211,2018,"BED2","2018 BED2"
"97","England",27.725298013245,2015,"BED3","2015 BED3"
"98","Scotland",28.9982352941176,2015,"BED3","2015 BED3"
"99","Wales",28.6436363636364,2015,"BED3","2015 BED3"
"100","Urban",27.6602631578947,2015,"BED3","2015 BED3"
"101","Rural",28.0098684210526,2015,"BED3","2015 BED3"
"102","Coastal",28.6296202531646,2015,"BED3","2015 BED3"
"103","Inland",27.4490990990991,2015,"BED3","2015 BED3"
"104","Average",27.9399473684211,2015,"BED3","2015 BED3"
"105","England",25.6072185430464,2016,"BED3","2016 BED3"
"106","Scotland",27.96,2016,"BED3","2016 BED3"
"107","Wales",28.1027272727273,2016,"BED3","2016 BED3"
"108","Urban",25.6363157894737,2016,"BED3","2016 BED3"
"109","Rural",26.2242763157895,2016,"BED3","2016 BED3"
"110","Coastal",27.1791139240506,2016,"BED3","2016 BED3"
"111","Inland",25.3434234234234,2016,"BED3","2016 BED3"
"112","Average",26.1066842105263,2016,"BED3","2016 BED3"
"113","England",23.2484105960265,2017,"BED3","2017 BED3"
"114","Scotland",26.6694117647059,2017,"BED3","2017 BED3"
"115","Wales",28.0259090909091,2017,"BED3","2017 BED3"
"116","Urban",23.6128947368421,2017,"BED3","2017 BED3"
"117","Rural",24.2313815789474,2017,"BED3","2017 BED3"
"118","Coastal",25.566835443038,2017,"BED3","2017 BED3"
"119","Inland",23.0691891891892,2017,"BED3","2017 BED3"
"120","Average",24.1076842105263,2017,"BED3","2017 BED3"
"121","England",22.083178807947,2018,"BED3","2018 BED3"
"122","Scotland",25.0064705882353,2018,"BED3","2018 BED3"
"123","Wales",26.4663636363636,2018,"BED3","2018 BED3"
"124","Urban",22.0373684210526,2018,"BED3","2018 BED3"
"125","Rural",23.0559868421053,2018,"BED3","2018 BED3"
"126","Coastal",24.3055696202532,2018,"BED3","2018 BED3"
"127","Inland",21.8179279279279,2018,"BED3","2018 BED3"
"128","Average",22.8522631578947,2018,"BED3","2018 BED3"
"129","England",27.2978145695364,2015,"BED4","2015 BED4"
"130","Scotland",27.4141176470588,2015,"BED4","2015 BED4"
"131","Wales",28.3181818181818,2015,"BED4","2015 BED4"
"132","Urban",27.0713157894737,2015,"BED4","2015 BED4"
"133","Rural",27.5151315789474,2015,"BED4","2015 BED4"
